client_id,Variation_x,Variation_y,Variation
3633784,Test,Test,Test
7161996,Test,Test,Test
9707270,Control,Control,Control
4772716,Control,Control,Control
9888375,Control,Control,Control
1161478,Test,Test,Test
7669299,Test,Test,Test
3827180,Control,Control,Control
1970830,Control,Control,Control
1640688,Control,Control,Control
676552,Test,Test,Test
3399501,Test,Test,Test
3543788,Test,Test,Test
7902599,Test,Test,Test
8068308,Control,Control,Control
4638153,Control,Control,Control
1788838,Control,Control,Control
693101,Test,Test,Test
6520285,Test,Test,Test
9997114,Control,Control,Control
3286605,Control,Control,Control
1751757,Test,Test,Test
1064690,Control,Control,Control
2038707,Control,Control,Control
297472,Control,Control,Control
2160702,Control,Control,Control
2289897,Control,Control,Control
4657902,Test,Test,Test
6960009,Control,Control,Control
6665317,Test,Test,Test
2057773,Control,Control,Control
7523181,Control,Control,Control
5324253,Test,Test,Test
860745,Control,Control,Control
5340072,Test,Test,Test
5226626,Test,Test,Test
4520186,Test,Test,Test
219230,Control,Control,Control
3369137,Control,Control,Control
7479054,Control,Control,Control
4244891,Test,Test,Test
4384098,Control,Control,Control
7582150,Control,Control,Control
8308363,Test,Test,Test
8165914,Test,Test,Test
3520993,Control,Control,Control
5645966,Control,Control,Control
9378146,Control,Control,Control
148369,Test,Test,Test
5192659,Test,Test,Test
7007069,Control,Control,Control
127921,Test,Test,Test
3310785,Control,Control,Control
7423412,Control,Control,Control
8279228,Test,Test,Test
588240,Control,Control,Control
7699381,Control,Control,Control
7046133,Control,Control,Control
9364005,Test,Test,Test
5459195,Test,Test,Test
6442655,Test,Test,Test
7449461,Test,Test,Test
4963381,Test,Test,Test
6456062,Control,Control,Control
4823947,Control,Control,Control
8860992,Control,Control,Control
530654,Control,Control,Control
3347759,Control,Control,Control
7873338,Control,Control,Control
169185,Test,Test,Test
6980919,Test,Test,Test
6519269,Test,Test,Test
1638971,Test,Test,Test
7984549,Test,Test,Test
4137841,Test,Test,Test
459221,Test,Test,Test
3430793,Test,Test,Test
4853470,Test,Test,Test
8696517,Control,Control,Control
5751565,Test,Test,Test
3968370,Control,Control,Control
1718250,Test,Test,Test
6058534,Test,Test,Test
6597561,Control,Control,Control
6098661,Test,Test,Test
8861365,Test,Test,Test
2346575,Test,Test,Test
7973780,Control,Control,Control
5119497,Control,Control,Control
2532775,Test,Test,Test
3155140,Control,Control,Control
924852,Test,Test,Test
8330343,Test,Test,Test
8607482,Test,Test,Test
4827059,Control,Control,Control
4785260,Test,Test,Test
4778491,Test,Test,Test
7200160,Test,Test,Test
304982,Control,Control,Control
7177069,Test,Test,Test
9059531,Control,Control,Control
3130496,Test,Test,Test
7705990,Test,Test,Test
133101,Control,Control,Control
2790745,Test,Test,Test
2498676,Test,Test,Test
8988721,Control,Control,Control
6224299,Control,Control,Control
3217890,Control,Control,Control
9403921,Control,Control,Control
2356366,Control,Control,Control
453167,Control,Control,Control
372523,Control,Control,Control
2611324,Test,Test,Test
8766886,Test,Test,Test
3106431,Test,Test,Test
5615453,Test,Test,Test
7087847,Control,Control,Control
8760103,Test,Test,Test
5786954,Test,Test,Test
3175977,Test,Test,Test
5124813,Test,Test,Test
7221996,Test,Test,Test
7422759,Control,Control,Control
8609229,Test,Test,Test
9176963,Test,Test,Test
589292,Test,Test,Test
5417457,Control,Control,Control
863704,Control,Control,Control
117276,Test,Test,Test
7441896,Control,Control,Control
7763445,Test,Test,Test
7359292,Test,Test,Test
4101033,Control,Control,Control
1180583,Control,Control,Control
246429,Test,Test,Test
395074,Test,Test,Test
6006542,Test,Test,Test
1424799,Test,Test,Test
4251309,Test,Test,Test
5026927,Test,Test,Test
8512093,Test,Test,Test
8959766,Test,Test,Test
413157,Control,Control,Control
7448926,Control,Control,Control
806192,Test,Test,Test
1542033,Test,Test,Test
3432043,Test,Test,Test
1406408,Test,Test,Test
4694039,Test,Test,Test
2155192,Test,Test,Test
2657900,Control,Control,Control
4514754,Control,Control,Control
1673947,Control,Control,Control
4961256,Test,Test,Test
3413971,Control,Control,Control
2323637,Test,Test,Test
1209140,Test,Test,Test
85097,Control,Control,Control
2262795,Control,Control,Control
4501407,Test,Test,Test
5593703,Test,Test,Test
1461831,Test,Test,Test
5867403,Test,Test,Test
8825647,Control,Control,Control
2314843,Test,Test,Test
219207,Test,Test,Test
3535465,Test,Test,Test
4878070,Test,Test,Test
7337058,Control,Control,Control
3498908,Control,Control,Control
77276,Test,Test,Test
4630285,Control,Control,Control
5667617,Test,Test,Test
8184247,Control,Control,Control
7787684,Control,Control,Control
4247007,Control,Control,Control
7644707,Test,Test,Test
8620721,Control,Control,Control
1818956,Control,Control,Control
2211868,Control,Control,Control
5437254,Test,Test,Test
3584819,Control,Control,Control
6303538,Control,Control,Control
897477,Control,Control,Control
8003648,Control,Control,Control
5456658,Control,Control,Control
3846126,Test,Test,Test
5673767,Test,Test,Test
2558586,Test,Test,Test
4008787,Test,Test,Test
6917138,Test,Test,Test
2333006,Control,Control,Control
9067031,Test,Test,Test
7761694,Test,Test,Test
2043345,Test,Test,Test
4209246,Test,Test,Test
5238758,Test,Test,Test
1373405,Test,Test,Test
8277940,Control,Control,Control
2735635,Test,Test,Test
5567038,Test,Test,Test
4239711,Control,Control,Control
9635244,Control,Control,Control
2798211,Test,Test,Test
2915635,Test,Test,Test
947738,Test,Test,Test
3444839,Test,Test,Test
9797297,Control,Control,Control
5176958,Control,Control,Control
759780,Test,Test,Test
4985317,Test,Test,Test
3910595,Test,Test,Test
6688350,Test,Test,Test
6405208,Test,Test,Test
2986194,Test,Test,Test
1651697,Control,Control,Control
6503101,Test,Test,Test
9103724,Control,Control,Control
2561883,Test,Test,Test
7873226,Control,Control,Control
9922958,Test,Test,Test
323950,Control,Control,Control
932489,Test,Test,Test
6781849,Control,Control,Control
467861,Test,Test,Test
7430424,Control,Control,Control
7458004,Control,Control,Control
8753284,Test,Test,Test
9052277,Test,Test,Test
1428836,Test,Test,Test
2480352,Test,Test,Test
5896556,Control,Control,Control
3716868,Test,Test,Test
993682,Control,Control,Control
4036374,Control,Control,Control
1330036,Test,Test,Test
6325731,Test,Test,Test
8750191,Control,Control,Control
1720728,Test,Test,Test
9004679,Control,Control,Control
4342700,Control,Control,Control
8723963,Test,Test,Test
2458751,Test,Test,Test
5203477,Test,Test,Test
6405391,Test,Test,Test
2374507,Test,Test,Test
3011265,Control,Control,Control
3029315,Test,Test,Test
9164248,Test,Test,Test
6450029,Control,Control,Control
7045324,Test,Test,Test
3582059,Test,Test,Test
6773537,Test,Test,Test
1314809,Control,Control,Control
2615801,Test,Test,Test
7375067,Control,Control,Control
7159966,Test,Test,Test
4575187,Test,Test,Test
667534,Test,Test,Test
8604038,Control,Control,Control
2617114,Control,Control,Control
3436975,Control,Control,Control
119599,Test,Test,Test
7574730,Test,Test,Test
3362712,Control,Control,Control
42296,Control,Control,Control
3695514,Control,Control,Control
1192384,Control,Control,Control
4590361,Control,Control,Control
5543024,Test,Test,Test
7546085,Test,Test,Test
3072060,Test,Test,Test
1928906,Control,Control,Control
512833,Control,Control,Control
9089805,Control,Control,Control
5397802,Test,Test,Test
2888193,Control,Control,Control
4778460,Control,Control,Control
6199584,Test,Test,Test
7192558,Test,Test,Test
9102754,Test,Test,Test
3576255,Test,Test,Test
6346672,Control,Control,Control
1274510,Test,Test,Test
8283444,Control,Control,Control
3519145,Test,Test,Test
4390568,Control,Control,Control
5694063,Test,Test,Test
3602152,Test,Test,Test
4065760,Test,Test,Test
69568,Test,Test,Test
2420923,Test,Test,Test
5848027,Control,Control,Control
6522942,Test,Test,Test
1272344,Test,Test,Test
8957739,Test,Test,Test
8337830,Control,Control,Control
572617,Test,Test,Test
7744581,Test,Test,Test
3045158,Control,Control,Control
6747525,Control,Control,Control
7258442,Control,Control,Control
7746715,Test,Test,Test
1486118,Control,Control,Control
3563844,Test,Test,Test
9493365,Test,Test,Test
985881,Test,Test,Test
9792423,Test,Test,Test
7037852,Control,Control,Control
6767637,Control,Control,Control
8735726,Control,Control,Control
5914359,Test,Test,Test
1983898,Control,Control,Control
8930597,Control,Control,Control
1892008,Control,Control,Control
9889913,Test,Test,Test
1468125,Control,Control,Control
3025507,Control,Control,Control
529710,Test,Test,Test
9842475,Control,Control,Control
4343885,Control,Control,Control
4876132,Test,Test,Test
7829568,Test,Test,Test
8472274,Test,Test,Test
7475482,Control,Control,Control
6371350,Test,Test,Test
838584,Test,Test,Test
8526665,Control,Control,Control
9865882,Control,Control,Control
4717090,Control,Control,Control
1289178,Test,Test,Test
3412472,Control,Control,Control
6766816,Test,Test,Test
6774011,Test,Test,Test
3649806,Test,Test,Test
1034218,Test,Test,Test
4448805,Control,Control,Control
3766837,Test,Test,Test
9231655,Control,Control,Control
6296222,Test,Test,Test
2200779,Test,Test,Test
5027124,Control,Control,Control
1432979,Control,Control,Control
3999559,Test,Test,Test
3671491,Control,Control,Control
3179230,Test,Test,Test
9748979,Control,Control,Control
3590487,Test,Test,Test
8874319,Test,Test,Test
8691226,Test,Test,Test
9513138,Control,Control,Control
7884558,Test,Test,Test
1090478,Test,Test,Test
1304240,Test,Test,Test
2681612,Control,Control,Control
851930,Control,Control,Control
1344982,Test,Test,Test
5171271,Test,Test,Test
6602680,Test,Test,Test
2447231,Test,Test,Test
5631396,Test,Test,Test
6833110,Control,Control,Control
4960901,Control,Control,Control
2189750,Test,Test,Test
9455754,Test,Test,Test
209511,Control,Control,Control
741785,Control,Control,Control
2855888,Control,Control,Control
9083686,Control,Control,Control
2645953,Control,Control,Control
903457,Control,Control,Control
3039540,Test,Test,Test
4730612,Test,Test,Test
2763314,Control,Control,Control
3453411,Test,Test,Test
5212054,Control,Control,Control
1344819,Control,Control,Control
8681644,Control,Control,Control
8125499,Test,Test,Test
7271587,Test,Test,Test
964596,Test,Test,Test
2675819,Control,Control,Control
8852099,Control,Control,Control
7465287,Test,Test,Test
8132181,Test,Test,Test
5759626,Test,Test,Test
2900782,Control,Control,Control
2963107,Control,Control,Control
8862044,Control,Control,Control
7433366,Control,Control,Control
133487,Control,Control,Control
7470213,Test,Test,Test
6809622,Test,Test,Test
1616582,Test,Test,Test
9159465,Test,Test,Test
494597,Test,Test,Test
4503552,Control,Control,Control
3089722,Control,Control,Control
9641810,Control,Control,Control
985046,Test,Test,Test
192160,Test,Test,Test
6233261,Test,Test,Test
6332820,Control,Control,Control
2623927,Control,Control,Control
8839288,Test,Test,Test
495241,Test,Test,Test
5195063,Test,Test,Test
7878552,Control,Control,Control
2312741,Test,Test,Test
7633966,Control,Control,Control
6717348,Test,Test,Test
3502824,Control,Control,Control
614865,Test,Test,Test
7702732,Test,Test,Test
1711408,Test,Test,Test
1399670,Control,Control,Control
157106,Test,Test,Test
1696504,Control,Control,Control
4243376,Test,Test,Test
2606054,Test,Test,Test
4369578,Test,Test,Test
7597104,Control,Control,Control
9221129,Test,Test,Test
8225520,Test,Test,Test
595691,Test,Test,Test
6464033,Test,Test,Test
4211505,Control,Control,Control
9335333,Test,Test,Test
1192407,Test,Test,Test
9824178,Test,Test,Test
1087333,Test,Test,Test
3982600,Control,Control,Control
1290643,Test,Test,Test
728102,Test,Test,Test
763504,Test,Test,Test
629229,Test,Test,Test
2892822,Test,Test,Test
219038,Test,Test,Test
3387907,Control,Control,Control
951327,Test,Test,Test
4857096,Control,Control,Control
7258987,Test,Test,Test
5240348,Control,Control,Control
9219098,Control,Control,Control
6521093,Control,Control,Control
3421393,Control,Control,Control
2025761,Control,Control,Control
3119062,Test,Test,Test
6740819,Control,Control,Control
6053599,Control,Control,Control
7606536,Control,Control,Control
3206726,Control,Control,Control
2128160,Control,Control,Control
2019649,Test,Test,Test
1194245,Control,Control,Control
2681771,Test,Test,Test
8295735,Control,Control,Control
312984,Control,Control,Control
2839247,Control,Control,Control
9661060,Test,Test,Test
5732744,Control,Control,Control
3973582,Test,Test,Test
4620465,Test,Test,Test
6115514,Test,Test,Test
6479455,Test,Test,Test
5363445,Control,Control,Control
6981798,Control,Control,Control
8031718,Control,Control,Control
1262291,Control,Control,Control
8770403,Control,Control,Control
1348442,Control,Control,Control
566137,Test,Test,Test
3861702,Control,Control,Control
4693102,Control,Control,Control
5398009,Test,Test,Test
5015824,Test,Test,Test
9542428,Control,Control,Control
8348798,Test,Test,Test
4608580,Control,Control,Control
2263719,Control,Control,Control
2612667,Test,Test,Test
1213524,Test,Test,Test
1344421,Test,Test,Test
8555070,Control,Control,Control
2787512,Control,Control,Control
9534176,Control,Control,Control
2588637,Test,Test,Test
2615052,Test,Test,Test
965179,Test,Test,Test
273469,Test,Test,Test
6651108,Test,Test,Test
7460349,Control,Control,Control
3197853,Test,Test,Test
844271,Test,Test,Test
8774888,Test,Test,Test
6382757,Test,Test,Test
8501430,Control,Control,Control
6724494,Test,Test,Test
7804581,Control,Control,Control
8095423,Control,Control,Control
8264879,Test,Test,Test
6374406,Control,Control,Control
2717233,Test,Test,Test
9837096,Control,Control,Control
4281763,Test,Test,Test
9112089,Control,Control,Control
7887156,Control,Control,Control
743037,Control,Control,Control
3825646,Control,Control,Control
6948287,Test,Test,Test
3060095,Test,Test,Test
9696533,Control,Control,Control
4701896,Test,Test,Test
4743022,Control,Control,Control
2491891,Test,Test,Test
589393,Test,Test,Test
6033805,Control,Control,Control
7690775,Control,Control,Control
466526,Control,Control,Control
8305562,Test,Test,Test
3319690,Test,Test,Test
5253835,Test,Test,Test
5688104,Control,Control,Control
9589889,Test,Test,Test
9513516,Test,Test,Test
1410997,Control,Control,Control
6682361,Test,Test,Test
390650,Test,Test,Test
9914877,Test,Test,Test
1908164,Test,Test,Test
1428184,Test,Test,Test
6662941,Control,Control,Control
625038,Control,Control,Control
8127978,Test,Test,Test
4497644,Test,Test,Test
2928968,Test,Test,Test
2459641,Test,Test,Test
2502567,Control,Control,Control
6809452,Test,Test,Test
2570257,Control,Control,Control
1900836,Test,Test,Test
9887206,Test,Test,Test
8117339,Control,Control,Control
9292612,Control,Control,Control
4589317,Test,Test,Test
9600289,Test,Test,Test
8644587,Test,Test,Test
3515019,Test,Test,Test
1399011,Test,Test,Test
3859509,Test,Test,Test
9624621,Control,Control,Control
1411452,Test,Test,Test
9451729,Test,Test,Test
7158922,Test,Test,Test
2824464,Test,Test,Test
7355987,Test,Test,Test
4290599,Test,Test,Test
195455,Test,Test,Test
5941398,Test,Test,Test
4855745,Test,Test,Test
5670374,Control,Control,Control
4889645,Test,Test,Test
7393980,Test,Test,Test
5754741,Test,Test,Test
955190,Test,Test,Test
5520127,Control,Control,Control
8360249,Control,Control,Control
4825054,Control,Control,Control
431615,Test,Test,Test
6405406,Test,Test,Test
5619517,Control,Control,Control
4452301,Test,Test,Test
9762839,Test,Test,Test
2044540,Control,Control,Control
5080437,Test,Test,Test
8213521,Control,Control,Control
9937888,Test,Test,Test
9786441,Test,Test,Test
5593356,Control,Control,Control
6217407,Test,Test,Test
4883446,Test,Test,Test
8655162,Test,Test,Test
1622925,Test,Test,Test
5867862,Test,Test,Test
7916237,Test,Test,Test
2080737,Test,Test,Test
3350408,Test,Test,Test
1011972,Control,Control,Control
520210,Test,Test,Test
6559023,Control,Control,Control
1835426,Test,Test,Test
1859491,Test,Test,Test
8158588,Test,Test,Test
1787233,Test,Test,Test
1255014,Control,Control,Control
3314416,Control,Control,Control
8121690,Test,Test,Test
8219792,Control,Control,Control
3252556,Test,Test,Test
4577049,Control,Control,Control
9795698,Test,Test,Test
4202537,Control,Control,Control
8792675,Control,Control,Control
1113976,Test,Test,Test
6605778,Test,Test,Test
3030274,Control,Control,Control
5166590,Test,Test,Test
5395303,Control,Control,Control
122493,Control,Control,Control
8607353,Test,Test,Test
9309880,Test,Test,Test
6219485,Test,Test,Test
6779709,Test,Test,Test
1181698,Control,Control,Control
8627900,Test,Test,Test
9265934,Control,Control,Control
9441056,Control,Control,Control
9017041,Control,Control,Control
2815061,Control,Control,Control
6330488,Test,Test,Test
8550901,Control,Control,Control
6586655,Control,Control,Control
435580,Control,Control,Control
6461191,Control,Control,Control
5551581,Test,Test,Test
9983987,Test,Test,Test
8006148,Test,Test,Test
6670730,Control,Control,Control
6692080,Test,Test,Test
3861021,Control,Control,Control
4332065,Test,Test,Test
5802843,Test,Test,Test
4052287,Control,Control,Control
8375573,Test,Test,Test
8512863,Control,Control,Control
9749944,Control,Control,Control
9615900,Test,Test,Test
7274800,Test,Test,Test
5819620,Control,Control,Control
1790923,Control,Control,Control
6097361,Control,Control,Control
8314579,Test,Test,Test
9286966,Test,Test,Test
8961589,Test,Test,Test
7105238,Control,Control,Control
3071281,Test,Test,Test
981261,Control,Control,Control
987879,Test,Test,Test
9652308,Test,Test,Test
3976933,Control,Control,Control
8544465,Test,Test,Test
8645809,Test,Test,Test
7278903,Test,Test,Test
9455359,Test,Test,Test
8627399,Control,Control,Control
162867,Test,Test,Test
1033888,Control,Control,Control
7512282,Control,Control,Control
3875133,Test,Test,Test
5296568,Test,Test,Test
5569364,Control,Control,Control
483740,Test,Test,Test
6958432,Test,Test,Test
4533589,Test,Test,Test
7977593,Control,Control,Control
8470878,Control,Control,Control
2460950,Test,Test,Test
5028215,Test,Test,Test
7030145,Test,Test,Test
7303592,Control,Control,Control
2465426,Control,Control,Control
9007970,Test,Test,Test
1333964,Test,Test,Test
4129281,Test,Test,Test
4635518,Control,Control,Control
8605014,Control,Control,Control
9382137,Control,Control,Control
5328442,Control,Control,Control
7932118,Test,Test,Test
3028950,Test,Test,Test
6148802,Test,Test,Test
5955812,Test,Test,Test
2923234,Test,Test,Test
2528424,Test,Test,Test
3722490,Test,Test,Test
9296214,Test,Test,Test
2529822,Test,Test,Test
3337387,Test,Test,Test
4870929,Test,Test,Test
2619480,Control,Control,Control
7421893,Control,Control,Control
3725888,Test,Test,Test
9406425,Test,Test,Test
2529383,Test,Test,Test
6724871,Test,Test,Test
9322129,Test,Test,Test
9202764,Control,Control,Control
5209141,Test,Test,Test
2113818,Test,Test,Test
9764115,Test,Test,Test
1296904,Control,Control,Control
4719244,Test,Test,Test
6372831,Control,Control,Control
4313319,Control,Control,Control
542563,Control,Control,Control
9076766,Control,Control,Control
6410961,Control,Control,Control
3050600,Control,Control,Control
8945602,Control,Control,Control
1111442,Test,Test,Test
1061161,Control,Control,Control
6580601,Control,Control,Control
2671815,Control,Control,Control
8794099,Control,Control,Control
56570,Test,Test,Test
1647261,Control,Control,Control
3579822,Control,Control,Control
9461504,Test,Test,Test
4728463,Test,Test,Test
7377294,Test,Test,Test
7931364,Test,Test,Test
8156741,Control,Control,Control
5033489,Control,Control,Control
2983878,Control,Control,Control
3461541,Control,Control,Control
6434694,Control,Control,Control
6751236,Test,Test,Test
7429878,Test,Test,Test
5171763,Control,Control,Control
8012228,Test,Test,Test
7825081,Test,Test,Test
6046772,Test,Test,Test
8580049,Test,Test,Test
2067509,Test,Test,Test
3944371,Control,Control,Control
8987034,Test,Test,Test
5836504,Test,Test,Test
9111035,Test,Test,Test
2685663,Test,Test,Test
2722950,Control,Control,Control
7218675,Control,Control,Control
3009581,Control,Control,Control
8091872,Control,Control,Control
1755496,Test,Test,Test
9128400,Test,Test,Test
3334970,Test,Test,Test
559468,Test,Test,Test
1925220,Control,Control,Control
4979031,Test,Test,Test
9910098,Control,Control,Control
983122,Control,Control,Control
8249646,Control,Control,Control
8950069,Test,Test,Test
9058579,Control,Control,Control
9039182,Test,Test,Test
3010914,Control,Control,Control
7021345,Control,Control,Control
963874,Test,Test,Test
1546314,Control,Control,Control
7767849,Test,Test,Test
7068149,Control,Control,Control
8118036,Test,Test,Test
9726680,Test,Test,Test
4519160,Control,Control,Control
6773284,Test,Test,Test
7429772,Control,Control,Control
2368143,Test,Test,Test
6308576,Test,Test,Test
3956597,Control,Control,Control
3052488,Control,Control,Control
8758402,Control,Control,Control
9664272,Control,Control,Control
6905463,Control,Control,Control
1144410,Control,Control,Control
2548388,Test,Test,Test
9932367,Control,Control,Control
3149254,Test,Test,Test
2493468,Test,Test,Test
